epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.07385355979204178,0.0010000000474974513,3.3294570446014404,0.08685306459665298,3.2767181396484375
1,0.08094755560159683,0.0010000000474974513,3.267260789871216,0.08149910718202591,3.2259769439697266
2,0.0923486202955246,0.0010000000474974513,3.174478530883789,0.10707911849021912,3.103116273880005
3,0.12857866287231445,0.0010000000474974513,3.0293381214141846,0.14812611043453217,2.9643750190734863
4,0.16303521394729614,0.0010000000474974513,2.7704029083251953,0.20464009046554565,2.576139450073242
5,0.18609070777893066,0.0010000000474974513,2.609419822692871,0.22070196270942688,2.457275152206421
6,0.21155308187007904,0.0010000000474974513,2.5010571479797363,0.2159428894519806,2.4399373531341553
7,0.22954142093658447,0.0010000000474974513,2.4159364700317383,0.21713265776634216,2.483210325241089
8,0.24537622928619385,0.0010000000474974513,2.3444364070892334,0.30755501985549927,2.20351505279541
9,0.2620978057384491,0.0010000000474974513,2.2808847427368164,0.29922664165496826,2.1704065799713135
10,0.28363314270973206,0.0010000000474974513,2.2156760692596436,0.2891136109828949,2.178607225418091
11,0.2998479902744293,0.0010000000474974513,2.1452202796936035,0.3372992277145386,2.0313615798950195
12,0.32277679443359375,0.0010000000474974513,2.0768909454345703,0.3372992277145386,2.063788414001465
13,0.32809728384017944,0.0010000000474974513,2.0349514484405518,0.311124324798584,2.057255744934082
14,0.33658474683761597,0.0010000000474974513,1.996669888496399,0.41522902250289917,1.840760350227356
15,0.35697999596595764,0.0010000000474974513,1.957883596420288,0.412849485874176,1.8109312057495117
16,0.3653407692909241,0.0010000000474974513,1.925240397453308,0.35574063658714294,2.069526433944702
17,0.38066884875297546,0.0010000000474974513,1.8764694929122925,0.4306960105895996,1.7480913400650024
18,0.38193565607070923,0.0010000000474974513,1.844566822052002,0.4187983274459839,1.8227734565734863
19,0.393843412399292,0.0010000000474974513,1.8062303066253662,0.4140392541885376,1.804437518119812
